titulo,url,descricao,data_publicacao,img,fonte,positivo,negativo,neutro
"Meta, Microsoft, X e Tinder se juntam à Epic Games em processo contra Apple",https://valor.globo.com/empresas/noticia/2024/03/20/meta-microsoft-x-e-tinder-se-juntam-a-epic-games-em-processo-contra-apple.ghtml,        Empresa cobra comissões de até 30% sobre compras n...  ,2024-03-20 19:04:08+00:00,https://s2-valor.glbimg.com/wqstumT5hmQahkWLdxhkaq1BKic=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/t/m/QuzrZQRMmKUqBH0502pQ/iphone-410324-1280.jpg,Valor,0.0350259,0.8829006,0.08207347
Cuidado com a saúde da mulher pode adicionar US$ 13 bilhões à economia brasileira por ano,https://braziljournal.com/on-business/cuidado-com-a-saude-da-mulher-pode-adicionar-us-13-bilhoes-a-economia-brasileira-por-ano/,,2024-03-14 19:24:32.778047,,Brazil Journal,0.0350259,0.8829006,0.08207347
"Serviços crescem 0,7% em janeiro, terceiro avanço consecutivo",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39464-servicos-crescem-0-7-em-janeiro-terceiro-avanco-consecutivo.html,"Informação e comunicação exerceram a principal influência no avanço do volume de serviços, com aumento da taxa em 1,5% - Foto: Agência Brasília Em janeiro, o volume de serviços prestados no país cresceu 0,7% frente a dezembro. É o terceiro resultado...",2024-03-15 09:00:00,,IBGE,0.0350259,0.8829006,0.08207347
Como a dívida do cartão de crédito se tornou um fardo para os americanos — e para Joe Biden,https://valor.globo.com/financas/noticia/2024/03/20/como-a-divida-do-cartao-de-credito-se-tornou-um-fardo-para-os-americanos-e-para-joe-biden.ghtml,        Problema coloca mais pressão sobre o orçamento das...  ,2024-03-20 19:01:44+00:00,https://s2-valor.glbimg.com/_BZJgbNC_oRfaBZxXG97SAmoyaQ=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/1/N/wYw86tRzSoFgdAelrHlA/foto09int-301-tlbiden-a15.jpg,Valor,0.03292459,0.8928681,0.07420732
Como investir em ano de eleições?,https://braziljournal.com/brands/como-investir-em-ano-de-eleicoes/,,2024-03-12 19:24:32.778304,,Brazil Journal,0.03292459,0.8928681,0.07420732
"Volume dos Serviços cresce 0,7% em janeiro",http://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/39459-volume-dos-servicos-cresce-0-7-em-janeiro.html,"Em janeiro de 2024, o volume de serviços no Brasil cresceu 0,7% frente a dezembro de 2023, na série livre de influências sazonais. Foi o terceiro resultado positivo consecutivo do indicador, período em que acumulou um ganho de 1,9%. O setor de serviços...",2024-03-15 09:00:00,,IBGE,0.03292459,0.8928681,0.07420732
Preços da gasolina e diesel da Petrobras se afastam dos internacionais com avanço do petróleo,https://valor.globo.com/empresas/noticia/2024/03/20/preos-da-gasolina-e-diesel-da-petrobras-se-afastam-dos-internacionais-com-avano-do-petrleo.ghtml,        Cotação do petróleo tipo Brent tocou o maior nível...  ,2024-03-20 19:00:49+00:00,https://s2-valor.glbimg.com/ymjUvVg15A55hsDveAaIBgcbHqE=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/9/C/QSrLh5S0KqN5mUpIgydQ/foto02bra-201-combusta-a2.jpg,Valor,0.0330129,0.9336454,0.033341672
BS2 consolida estratégia focada em empresas e alcança lucro recorde,https://braziljournal.com/brands/bs2-consolida-estrategia-focada-em-empresas-e-alcanca-lucro-recorde/,,2024-03-14 19:24:32.778533,,Brazil Journal,0.0330129,0.9336454,0.033341672
"Presidente Marcio Pochmann participa de evento da 5ª Conferência Nacional de Ciência, Tecnologia e Inovação na UERJ",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39465-presidente-marcio-pochmann-participa-de-evento-da-5-conferencia-nacional-de-ciencia-tecnologia-e-inovacao-na-uerj.html,"O presidente Marcio Pochmann reforçou o momento ímpar no qual a conferência está sendo realizada, marcado pela presença cada vez maior de recursos digitais no cotidiano das pessoas Na manhã desta quinta-feira, 14, o presidente do IBGE, Marcio Pochmann,...",2024-03-14 17:56:43,,IBGE,0.0330129,0.9336454,0.033341672
"'Juros não vão voltar para os níveis muito baixos de antes da pandemia', diz presidente do BC dos EUA",https://valor.globo.com/financas/noticia/2024/03/20/juros-devem-ser-reduzidos-neste-ano-se-economia-evoluir-como-o-esperado-diz-powell.ghtml,        Jerome Powell diz que o Fed precisa de mais tempo...  ,2024-03-20 18:53:48+00:00,https://s2-valor.glbimg.com/j_rab5bkMHXGaemhXIkCAbvD2vg=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/U/0/AdAA9eSKaBkxfw6ktreg/402212727.jpg,Valor,0.03617335,0.81852704,0.14529954
"Na Arezzo&Co, um ano para ficar na história",https://braziljournal.com/brands/na-arezzoco-um-ano-para-ficar-na-historia/,,2024-03-19 19:24:32.778764,,Brazil Journal,0.03617335,0.81852704,0.14529954
SIDRA utilizará inteligência artificial na busca,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39456-sidra-utilizara-inteligencia-artificial-na-busca.html,O Sistema IBGE de Recuperação Automatizada (SIDRA) utilizará Inteligência Artificial (IA) em sua ferramenta de buscas ainda no primeiro semestre de 2024. O SIDRA é o banco de dados no qual as informações das pesquisas realizadas pelo IBGE ficam...,2024-03-14 14:00:00,,IBGE,0.03617335,0.81852704,0.14529954
"Mesmo após homologação do acordo de delação, Ronnie Lessa continuará preso",https://valor.globo.com/politica/noticia/2024/03/20/mesmo-apos-homologacao-do-acordo-de-delacao-ronnie-lessa-continuara-preso.ghtml,        Acusado de efetuar os disparam que mataram Mariell...  ,2024-03-20 18:51:54+00:00,https://s2-valor.glbimg.com/Krg2qColimn7ROaiBrIzEfe59RA=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2022/G/Y/XkkpzcRP6vgqLikAOFAw/ronnie-lessa.png,Valor,0.037234697,0.78686386,0.17590144
O que está por trás do lucro bilionário do Nu em 2023,https://braziljournal.com/brands/o-que-esta-por-tras-do-lucro-bilionario-do-nu-em-2023/,,2024-03-18 19:24:32.778992,,Brazil Journal,0.037234697,0.78686386,0.17590144
Estudantes de Ponte Alta do Tocantins visitam primeiro totem interativo do IBGE em agência dos Correios,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39457-estudantes-de-ponte-alta-do-tocantins-visitam-primeiro-totem-interativo-do-ibge-em-agencia-dos-correios.html,"Alunos do Colégio Estadual Odolfo Soares, de Ponte Alta do Tocantins, em aula com o totem interativo do IBGE Alunos do Colégio Estadual Odolfo Soares, de Ponte Alta do Tocantins, tiveram uma aula de Geografia diferente nesta terça-feira, 12. Eles...",2024-03-14 13:55:00,,IBGE,0.037234697,0.78686386,0.17590144
"Fed mantém previsão de cortes em 2024, mas projeta juros mais altos nos próximos anos",https://valor.globo.com/financas/noticia/2024/03/20/fed-mantm-previso-de-cortes-em-2024-mas-projeta-juros-mais-altos-nos-prximos-anos.ghtml,"        Na prática, as novas projeções indicam que a reduç...  ",2024-03-20 18:50:02+00:00,https://s2-valor.glbimg.com/fTiX55W9RosnlqW4acrlnNgoy2c=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/y/z/TBqkanTUujJOTtWbFcIw/404259931.jpg,Valor,0.040936783,0.8472895,0.11177363
O que o setor elétrico pode ensinar para a infraestrutura do País,https://braziljournal.com/brands/o-que-o-setor-eletrico-pode-ensinar-sobre-universalizacao-da-infraestrutura/,,2024-03-17 19:24:32.779257,,Brazil Journal,0.040936783,0.8472895,0.11177363
"Após queda em dezembro, vendas no varejo crescem 2,5% em janeiro",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39451-apos-queda-em-dezembro-vendas-no-varejo-crescem-2-5-em-janeiro.html,"O aumento de vendas no setor de tecidos, vestuário e calçados impulsionou o varejo no primeiro mês do ano - Foto: Helena Pontes/Agência IBGE Notícias Na passagem de dezembro para janeiro, as vendas no comércio varejista no país aumentaram 2,5%. É a...",2024-03-14 09:00:00,,IBGE,0.040936783,0.8472895,0.11177363
"NTT Data prevê resultado positivo em 2023, apesar de 'ressaca de investimentos' do mercado",https://valor.globo.com/empresas/noticia/2024/03/20/ntt-data-preve-resultado-positivo-em-2023-apesar-de-ressaca-de-investimentos-do-mercado.ghtml,"        Foi um grande ano para IA, 'muito quente' para seg...  ",2024-03-20 18:50:01+00:00,https://s2-valor.glbimg.com/oGuQC8B_f-tkoFaHHEJ5WvqhBrI=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/B/z/vSfeGeREGIQ9VCVL4yGg/080324ricardoneves016.jpg,Valor,0.79611593,0.119408585,0.08447546
Os planos da Pluxee no Brasil após seu IPO e JV com Santander,https://braziljournal.com/brands/os-planos-da-pluxee-no-brasil-apos-ipo-e-jv-com-santander/,,2024-03-17 19:24:32.779506,,Brazil Journal,0.79611593,0.119408585,0.08447546
"Produção de petróleo dos contratos de partilha do pré-sal fica estável em janeiro, diz PPSA",https://valor.globo.com/brasil/noticia/2024/03/20/produo-de-petrleo-dos-contratos-de-partilha-do-pr-sal-fica-estvel-em-janeiro-diz-ppsa.ghtml,        Maior produtor de petróleo dos contratos de partil...  ,2024-03-20 18:38:18+00:00,https://s2-valor.glbimg.com/OiWMrDfzVm26FrzsnwDUcTusAb4=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2020/U/b/pq3XcITDq7hOU1ZyXB1w/foto19bra-101-ppsa-a5.jpg,Valor,0.16702117,0.6481366,0.18484221
A estratégia por trás do rebranding da RD Saúde,https://braziljournal.com/play/a-estrategia-por-tras-do-rebranding-da-rd-saude/,,,,Brazil Journal,0.16702117,0.6481366,0.18484221
"Em 2023, abate de bovinos cresce e o de frangos e suínos atinge recordes ",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39453-em-2023-abate-de-bovinos-cresce-e-o-de-frangos-e-suinos-atingem-recordes.html,"Abate de bovinos cresce e atinge segundo maior resultado da série, atrás apenas daquele registrado em 2013 - Foto: Licia Rubinstein/Agência IBGE Notícias O abate de bovinos seguiu em crescimento em 2023 e chegou a 34,06 milhões de cabeças, um aumento de...",2024-03-14 09:00:00,,IBGE,0.16702117,0.6481366,0.18484221
Bitcoin acelera ganhos após decisão de política monetária do Fed,https://valor.globo.com/financas/criptomoedas/noticia/2024/03/20/bitcoin-acelera-ganhos-aps-deciso-de-poltica-monetria-do-fed.ghtml,        Investidores de ativos digitais seguem positivos a...  ,2024-03-20 18:35:28+00:00,https://s2-valor.glbimg.com/TpGMfN3sKE0DGA5J7VLDaCm179c=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/N/T/ewAFqDTBuVxwb6F0yidQ/bitcoin-sec-btc.jpg,Valor,0.87317777,0.045482293,0.08133991
Panvel acelera expansão e prevê mais lojas – quase todas no Sul,https://braziljournal.com/play/panvel-acelera-expansao-da-receita-e-preve-mais-lojas-quase-todas-no-sul/,,,,Brazil Journal,0.87317777,0.045482293,0.08133991
"Em janeiro, vendas no varejo crescem 2,5%",http://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/39449-em-janeiro-vendas-no-varejo-crescem-2-5.html,"Em janeiro de 2024, o volume de vendas do comércio varejista cresceu 2,5%, frente a dezembro, na série com ajuste sazonal. No mês anterior, a variação havia sido de -1,4%. A média móvel trimestral variou 0,4% no trimestre encerrado em janeiro. Período...",2024-03-14 09:00:00,,IBGE,0.87317777,0.045482293,0.08133991
Lula pede ajuda ao Banco do Brasil para fomentar crédito,https://valor.globo.com/financas/noticia/2024/03/20/lula-pede-ajuda-ao-banco-do-brasil-para-fomentar-credito.ghtml,"        Segundo a presidente do banco público, isso não si...  ",2024-03-20 18:32:09+00:00,https://s2-valor.glbimg.com/yyEIa83KRukJ-ICcNnjNDydBCDM=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/G/x/yjtIEJSty182jTSQWO8A/whatsapp-image-2024-02-09-at-15.47.19-2-.jpeg,Valor,0.18590215,0.07214353,0.7419543
"Com ajuda do presencial, Yduqs promete alta de dois dígitos no lucro",https://braziljournal.com/play/com-ajuda-do-presencial-yduqs-promete-alta-de-dois-digitos-no-lucro/,,,,Brazil Journal,0.18590215,0.07214353,0.7419543
Partidos começam a indicar integrantes e comissão da MP das compensações tributárias deve ser instalada,https://valor.globo.com/politica/noticia/2024/03/20/partidos-comecam-a-indicar-integrantes-e-comissao-da-mp-das-compensacoes-tributarias-deve-ser-instalada.ghtml,        Medida é uma das principais pautas do governo na á...  ,2024-03-20 18:29:42+00:00,https://s2-valor.glbimg.com/wb7UeVLtokLnw_-sDDa9zCFk750=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/a/Y/drsYcuShifhbnWDqrztw/img20231215105710633med.jpg,Valor,0.05308413,0.10544648,0.84146935
ROUNDTABLE Inteligência Artificial: Um debate sobre transformacional x hype,https://braziljournal.com/play/roundtable-inteligencia-artificial-um-debate-sobre-transformacional-x-hype/,,,,Brazil Journal,0.05308413,0.10544648,0.84146935
"Em janeiro, indústria recua em seis dos 15 locais pesquisados",http://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/39413-em-janeiro-industria-recua-em-seis-dos-15-locais-pesquisados.html,"Com queda de 1,6% na indústria nacional em janeiro, na série com ajuste sazonal, seis dos 15 locais pesquisados pelo IBGE neste indicador apresentaram taxas negativas. Os maiores recuos foram registrados no Espírito Santo (-6,3%) e no Pará (-4,9%). Rio...",2024-03-13 09:00:00,,IBGE,0.05308413,0.10544648,0.84146935
Dólar aprofunda queda e opera abaixo de R$ 5 e Ibovespa acelera alta após decisão do Fed,https://valor.globo.com/financas/ao-vivo/2023/06/16/dolar-avanca-e-ibovespa-recua-em-dia-de-correcao-siga-os-mercados.ghtml,        Banco central americano mantém taxa de juros entre...  ,2024-03-20 18:29:12+00:00,https://s2-valor.glbimg.com/xNu1NM3FYGZlAH2JXa5KYjJGEjI=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/Y/K/yC6MlQSxCkswNJqCjQ7g/tech-daily-ztymiqecyh4-unsplash.jpg,Valor,0.036676057,0.9330924,0.030231547
Aegea diz que está olhando Sabesp e sugere lockup maior,https://braziljournal.com/play/aegea-diz-que-esta-olhando-sabesp-e-sugere-lockup-maior/,,,,Brazil Journal,0.036676057,0.9330924,0.030231547
Presidente Marcio Pochmann ministra aula inaugural dos cursos de mestrado e doutorado da ENCE ,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39410-presidente-marcio-pochmann-ministra-aula-inaugural-dos-cursos-de-mestrado-e-doutorado-da-ence-3.html,Novos docentes da ENCE acompanham aula inaugural com o Presidente Marcio Pochmann - Foto: Breno Siqueira/Agência IBGE Notícias O presidente Marcio Pochmann ministrou a aula inaugural para os cursos de mestrado e doutorado da Escola Nacional de Ciências...,2024-03-12 14:55:55,,IBGE,0.036676057,0.9330924,0.030231547
"Após apagão, Tribunal de Contas do Município de São Paulo vai analisar contrato da Enel ",https://valor.globo.com/brasil/noticia/2024/03/20/apos-apagao-tribunal-de-contas-do-municipio-de-sao-paulo-vai-analisar-contrato-da-enel.ghtml,        Equipe do TCM-SP também vai analisar eventuais pre...  ,2024-03-20 18:28:26+00:00,https://s2-valor.glbimg.com/VT1L5SosVPH-dHOcUUiAxCJ8zSk=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/9/8/OGNOwwSBACGQCBMUNyxQ/apagao-em-sao-paulo-falta-de-luz-enel-paulo-pinto-agencia-brasil.webp,Valor,0.028718261,0.88119256,0.090089194
"Fleury tem ano “resiliente”, diz CEO; alavancagem abre espaço para M&As",https://braziljournal.com/play/fleury-tem-ano-resiliente-diz-ceo-alavancagem-abre-espaco-para-mas/,,,,Brazil Journal,0.028718261,0.88119256,0.090089194
"Inflação é de 0,83% em fevereiro, influenciada pela alta em Educação",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39387-inflacao-e-de-0-83-em-fevereiro-influenciada-pela-alta-em-educacao.html,"Com início do ano letivo, alta nos preços da Educação pressiona inflação do país - Foto: Acervo IBGE A inflação do país acelerou em fevereiro e registrou alta de 0,83%, após fechar janeiro em 0,42%. Os preços do grupo de Educação tiveram o maior...",2024-03-12 09:00:00,,IBGE,0.028718261,0.88119256,0.090089194
"Governo deve bloquear de R$ 2,9 bi a R$ 3 bi do orçamento para manter limite de gastos do arcabouço fiscal, diz fonte ",https://valor.globo.com/brasil/noticia/2024/03/20/governo-deve-bloquear-de-r-29-bi-a-r-3-bi-do-orcamento-para-manter-limite-de-gastos-do-arcabouco-fiscal-diz-fonte.ghtml,        As novas projeções de receitas e despesas apontam...  ,2024-03-20 18:24:33+00:00,https://s2-valor.glbimg.com/30QpcqhdJehDM4-Ph0B7SR0tMe4=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2021/p/S/N3dA0ZQPu7eKHgvTo3Jg/29032010dinheiro002.jpg,Valor,0.026342167,0.93659586,0.03706192
BYD chegou chegando também na publicidade,https://braziljournal.com/play/byd-chegou-chegando-tambem-na-publicidade/,,,,Brazil Journal,0.026342167,0.93659586,0.03706192
"IPCA foi de 0,83% em fevereiro",http://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/39384-ipca-foi-de-0-83-em-fevereiro.html,"O Índice Nacional de Preços ao Consumidor Amplo (IPCA) de fevereiro foi de 0,83% e ficou 0,41 ponto percentual acima da taxa de janeiro (0,42%). No ano, o IPCA acumula alta de 1,25% e, nos últimos 12 meses, de 4,50%, próxima aos 4,51% observados nos 12...",2024-03-12 09:00:00,,IBGE,0.026342167,0.93659586,0.03706192
Bolsa e real ganham força após decisão do banco central dos EUA,https://valor.globo.com/financas/noticia/2024/03/20/bolsa-e-real-ganham-forca-apos-decisao-do-banco-central-dos-eua.ghtml,"        O Ibovespa foi às máximas da sessão, enquanto o dó...  ",2024-03-20 18:24:09+00:00,https://s2-valor.glbimg.com/0peu4_zJyViYCkIvFDwXd6LBpmc=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/R/w/ArmyLKQtSER8br20CKlQ/ballots-1195056-1280.jpg,Valor,0.27064854,0.113215886,0.61613554
Excesso de oferta pressiona resultado da Engie Brasil; Foco agora é na transmissão,https://braziljournal.com/play/excesso-de-oferta-pressiona-resultado-da-engie-brasil-foco-agora-e-na-transmissao/,,,,Brazil Journal,0.27064854,0.113215886,0.61613554
"Ainda sob efeito de problemas climáticos, estimativa de fevereiro aponta safra de 300,7 milhões de toneladas para 2024",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39370-ainda-sob-efeito-de-problemas-climaticos-estimativa-de-fevereiro-aponta-safra-de-300-7-milhoes-de-toneladas-para-2024.html,"A queda na produção de soja (-0,8%) de janeiro para fevereiro impactou fortemente a estimativa da produção agrícola para 2024 - Foto: Gilson Abreu/AEN-PR O Levantamento Sistemático da Produção Agrícola (LSPA), divulgado hoje (12) pelo IBGE, mostra que a...",2024-03-12 09:00:00,,IBGE,0.27064854,0.113215886,0.61613554
Ação da Braskem (BRKM5) dispara 10% e lidera altas do Ibovespa,https://valor.globo.com/financas/noticia/2024/03/20/acao-da-braskem-brkm5-dispara-10percent-e-lidera-altas-do-ibovespa.ghtml,"        Investidores ainda reagem ao balanço da empresa, q...  ",2024-03-20 18:19:45+00:00,https://s2-valor.glbimg.com/v_eRIDV1q-mX--OUp0m_-jc1jXs=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/w/d/7oi3NMSAue8Kt3AabKdA/polo-petroquimico-de-triunfo-rio-grande-do-sul-da-braskem-onde-sao-produzidos-os-produtos-da-marca-im-green-da-companhia-divulgacao.png,Valor,0.8321861,0.10269044,0.06512342
INSIGHTS: Um engenheiro e uma obsessão: a história ‘duradoura’ do G-Shock,https://braziljournal.com/play/insights-um-engenheiro-e-uma-obsessao-a-historia-duradoura-do-g-shock/,,,,Brazil Journal,0.8321861,0.10269044,0.06512342
